machine,sensor,signal,active,minutes,seconds,millis
feed_a,pressure_a,0.00905465,0.01,0,0,0
feed_a,pressure_a,0.04909835,0.01,0,0,200
feed_a,pressure_a,0.04649002,0.01,0,0,400
feed_a,pressure_a,0.05847766,0.01,0,0,600
feed_a,pressure_a,0.05237882,0.01,0,0,800
feed_a,pressure_a,0.04388541,0.01,0,1,0
feed_a,pressure_a,0.04441857,0.01,0,1,200
feed_a,pressure_a,0.05465287,0.01,0,1,400
feed_a,pressure_a,0.05869722,0.01,0,1,600
feed_a,pressure_a,0.04098995,0.01,0,1,800
feed_a,pressure_a,0.04275052,0.01,0,2,0
feed_a,pressure_a,0.04051692,0.01,0,2,200
feed_a,pressure_a,0.0736215,0.01,0,2,400
feed_a,pressure_a,0.04955022,0.01,0,2,600
feed_a,pressure_a,0.05858579,0.01,0,2,800
feed_a,pressure_a,0.04303182,0.01,0,3,0
feed_a,pressure_a,0.03966584,0.01,0,3,200
feed_a,pressure_a,0.06133684,0.01,0,3,400
feed_a,pressure_a,0.01611521,0.01,0,3,600
feed_a,pressure_a,0.04663978,0.01,0,3,800
feed_a,pressure_a,0.05006735,0.01,0,4,0
feed_a,pressure_a,0.04714193,0.01,0,4,200
feed_a,pressure_a,0.03763757,0.01,0,4,400
feed_a,pressure_a,0.0407621,0.01,0,4,600
feed_a,pressure_a,0.04725219,0.01,0,4,800
feed_a,pressure_a,0.06094855,0.01,0,5,0
feed_a,pressure_a,0.0356753,0.01,0,5,200
feed_a,pressure_a,0.04759482,0.01,0,5,400
feed_a,pressure_a,0.06440314,0.01,0,5,600
feed_a,pressure_a,0.0440767,0.01,0,5,800
feed_a,pressure_a,0.03534368,0.01,0,6,0
feed_a,pressure_a,0.05558295,0.01,0,6,200
feed_a,pressure_a,0.04464429,0.01,0,6,400
feed_a,pressure_a,0.06997914,0.01,0,6,600
feed_a,pressure_a,0.07634303,0.01,0,6,800
feed_a,pressure_a,0.05533356,0.01,0,7,0
feed_a,pressure_a,0.03725009,0.01,0,7,200
feed_a,pressure_a,0.05174501,0.01,0,7,400
feed_a,pressure_a,0.04007173,0.01,0,7,600
feed_a,pressure_a,0.05241423,0.01,0,7,800
feed_a,pressure_a,0.03189034,0.01,0,8,0
feed_a,pressure_a,0.06049429,0.01,0,8,200
feed_a,pressure_a,0.03825431,0.01,0,8,400
feed_a,pressure_a,0.02925391,0.01,0,8,600
feed_a,pressure_a,0.03515307,0.01,0,8,800
feed_a,pressure_a,0.0619634,0.01,0,9,0
feed_a,pressure_a,0.04828694,0.01,0,9,200
