machine,sensor,signal,active,minutes,seconds,millis
feed_a,temp_a,0.002810077,0.01,0,0,0
feed_a,temp_a,0.04233277,0.01,0,0,200
feed_a,temp_a,0.03107336,0.01,0,0,400
feed_a,temp_a,0.07266872,0.01,0,0,600
feed_a,temp_a,0.04772661,0.01,0,0,800
feed_a,temp_a,0.04234458,0.01,0,1,0
feed_a,temp_a,0.05327815,0.01,0,1,200
feed_a,temp_a,0.04371866,0.01,0,1,400
feed_a,temp_a,0.03046724,0.01,0,1,600
feed_a,temp_a,0.04975738,0.01,0,1,800
feed_a,temp_a,0.05597963,0.01,0,2,0
feed_a,temp_a,0.05125517,0.01,0,2,200
feed_a,temp_a,0.06253942,0.01,0,2,400
feed_a,temp_a,0.05420968,0.01,0,2,600
feed_a,temp_a,0.0501142,0.01,0,2,800
feed_a,temp_a,0.03430421,0.01,0,3,0
feed_a,temp_a,0.04828133,0.01,0,3,200
feed_a,temp_a,0.06752274,0.01,0,3,400
feed_a,temp_a,0.06002998,0.01,0,3,600
feed_a,temp_a,0.0648311,0.01,0,3,800
feed_a,temp_a,0.06811577,0.01,0,4,0
feed_a,temp_a,0.04381583,0.01,0,4,200
feed_a,temp_a,0.07596159,0.01,0,4,400
feed_a,temp_a,0.04518816,0.01,0,4,600
feed_a,temp_a,0.06747229,0.01,0,4,800
feed_a,temp_a,0.075031,0.01,0,5,0
feed_a,temp_a,0.05938311,0.01,0,5,200
feed_a,temp_a,0.05657132,0.01,0,5,400
feed_a,temp_a,0.06268927,0.01,0,5,600
feed_a,temp_a,0.06309,0.01,0,5,800
feed_a,temp_a,0.01786301,0.01,0,6,0
feed_a,temp_a,0.05987775,0.01,0,6,200
feed_a,temp_a,0.0369054,0.01,0,6,400
feed_a,temp_a,0.03261873,0.01,0,6,600
feed_a,temp_a,0.04374187,0.01,0,6,800
feed_a,temp_a,0.04041671,0.01,0,7,0
feed_a,temp_a,0.02467624,0.01,0,7,200
feed_a,temp_a,0.03184192,0.01,0,7,400
feed_a,temp_a,0.05568531,0.01,0,7,600
