machine,sensor,signal,active,minutes,seconds,millis
feed_a,weight_a,0.08144668,0.01,0,0,0
feed_a,weight_a,0.07277395,0.01,0,0,200
feed_a,weight_a,0.03842163,0.01,0,0,400
feed_a,weight_a,0.05003551,0.01,0,0,600
feed_a,weight_a,0.04854281,0.01,0,0,800
feed_a,weight_a,0.04126301,0.01,0,1,0
feed_a,weight_a,0.06999866,0.01,0,1,200
feed_a,weight_a,0.06243314,0.01,0,1,400
feed_a,weight_a,0.03095101,0.01,0,1,600
feed_a,weight_a,0.06009849,0.01,0,1,800
feed_a,weight_a,0.06432549,0.01,0,2,0
feed_a,weight_a,0.02594989,0.01,0,2,200
feed_a,weight_a,0.07320219,0.01,0,2,400
feed_a,weight_a,0.05218972,0.01,0,2,600
feed_a,weight_a,0.04592085,0.01,0,2,800
feed_a,weight_a,0.06942003,0.01,0,3,0
feed_a,weight_a,0.05795629,0.01,0,3,200
feed_a,weight_a,0.0441718,0.01,0,3,400
feed_a,weight_a,0.04550102,0.01,0,3,600
feed_a,weight_a,0.04965368,0.01,0,3,800
feed_a,weight_a,0.03555188,0.01,0,4,0
feed_a,weight_a,0.06003998,0.01,0,4,200
feed_a,weight_a,0.05457534,0.01,0,4,400
feed_a,weight_a,0.05828728,0.01,0,4,600
feed_a,weight_a,0.03428741,0.01,0,4,800
feed_a,weight_a,0.05042621,0.01,0,5,0
feed_a,weight_a,0.05860019,0.01,0,5,200
feed_a,weight_a,0.05403404,0.01,0,5,400
feed_a,weight_a,0.0203463,0.01,0,5,600
feed_a,weight_a,0.06223186,0.01,0,5,800
feed_a,weight_a,0.06029539,0.01,0,6,0
feed_a,weight_a,0.08181064,0.01,0,6,200
feed_a,weight_a,0.06474478,0.01,0,6,400
feed_a,weight_a,0.04191129,0.01,0,6,600
feed_a,weight_a,0.06959602,0.01,0,6,800
feed_a,weight_a,0.06642354,0.01,0,7,0
feed_a,weight_a,0.05845213,0.01,0,7,200
feed_a,weight_a,0.03652993,0.01,0,7,400
feed_a,weight_a,0.06185054,0.01,0,7,600
feed_a,weight_a,0.0435744,0.01,0,7,800
feed_a,weight_a,0.0646227,0.01,0,8,0
feed_a,weight_a,0.06703257,0.01,0,8,200
feed_a,weight_a,0.05359997,0.01,0,8,400
feed_a,weight_a,0.04425883,0.01,0,8,600
feed_a,weight_a,0.03481208,0.01,0,8,800
feed_a,weight_a,0.0529668,0.01,0,9,0
feed_a,weight_a,0.04944875,0.01,0,9,200
feed_a,weight_a,0.03973031,0.01,0,9,400
feed_a,weight_a,0.03999445,0.01,0,9,600
feed_a,weight_a,0.03150238,0.01,0,9,800
feed_a,weight_a,0.06090153,0.01,0,10,0
feed_a,weight_a,0.0707763,0.01,0,10,200
feed_a,weight_a,0.06965896,0.01,0,10,400
feed_a,weight_a,0.04922135,0.01,0,10,600
feed_a,weight_a,0.03237507,0.01,0,10,800
feed_a,weight_a,0.02380353,0.01,0,11,0
feed_a,weight_a,0.05231159,0.01,0,11,200
feed_a,weight_a,0.06851402,0.01,0,11,400
feed_a,weight_a,0.04446958,0.01,0,11,600
feed_a,weight_a,0.01441318,0.01,0,11,800
feed_a,weight_a,0.06473188,0.01,0,12,0
feed_a,weight_a,0.04522851,0.01,0,12,200
feed_a,weight_a,0.04941185,0.01,0,12,400
feed_a,weight_a,0.04385348,0.01,0,12,600
feed_a,weight_a,0.05717758,0.01,0,12,800
feed_a,weight_a,0.05576932,0.01,0,13,0
feed_a,weight_a,0.04453534,0.01,0,13,200
feed_a,weight_a,0.05811708,0.01,0,13,400
feed_a,weight_a,0.06535635,0.01,0,13,600
feed_a,weight_a,0.03711592,0.01,0,13,800
feed_a,weight_a,0.03523191,0.01,0,14,0
feed_a,weight_a,0.04770595,0.01,0,14,200
feed_a,weight_a,0.04638079,0.01,0,14,400
feed_a,weight_a,0.03293573,0.01,0,14,600
feed_a,weight_a,0.06528184,0.01,0,14,800
feed_a,weight_a,0.04199559,0.01,0,15,0
feed_a,weight_a,0.07040031,0.01,0,15,200
feed_a,weight_a,0.04396378,0.01,0,15,400
feed_a,weight_a,0.064784,0.01,0,15,600
feed_a,weight_a,0.05409813,0.01,0,15,800
feed_a,weight_a,0.03502784,0.01,0,16,0
feed_a,weight_a,0.07117338,0.01,0,16,200
feed_a,weight_a,0.05148023,0.01,0,16,400
feed_a,weight_a,0.06987295,0.01,0,16,600
feed_a,weight_a,0.04160275,0.01,0,16,800
feed_a,weight_a,0.03366429,0.01,0,17,0
feed_a,weight_a,0.05345786,0.01,0,17,200
feed_a,weight_a,0.03558814,0.01,0,17,400
feed_a,weight_a,0.03624307,0.01,0,17,600
feed_a,weight_a,0.05045069,0.01,0,17,800
feed_a,weight_a,0.03432889,0.01,0,18,0
feed_a,weight_a,0.07171666,0.01,0,18,200
feed_a,weight_a,0.03486843,0.01,0,18,400
feed_a,weight_a,0.04989567,0.01,0,18,600
feed_a,weight_a,0.0390882,0.01,0,18,800
feed_a,weight_a,0.04814203,0.01,0,19,0
feed_a,weight_a,0.05253276,0.01,0,19,200
feed_a,weight_a,0.0424429,0.01,0,19,400
feed_a,weight_a,0.03180276,0.01,0,19,600
feed_a,weight_a,0.03961534,0.01,0,19,800
feed_a,weight_a,0.03106222,0.01,0,20,0
feed_a,weight_a,0.04746645,0.01,0,20,200
feed_a,weight_a,0.07918991,0.01,0,20,400
feed_a,weight_a,0.06701417,0.01,0,20,600
feed_a,weight_a,0.03188723,0.01,0,20,800
feed_a,weight_a,0.07771831,0.01,0,21,0
feed_a,weight_a,0.04191029,0.01,0,21,200
feed_a,weight_a,0.06926603,0.01,0,21,400
feed_a,weight_a,0.03831246,0.01,0,21,600
feed_a,weight_a,0.03903912,0.01,0,21,800
feed_a,weight_a,0.05059094,0.01,0,22,0
feed_a,weight_a,0.05588596,0.01,0,22,200
feed_a,weight_a,0.02534286,0.01,0,22,400
feed_a,weight_a,0.05372492,0.01,0,22,600
feed_a,weight_a,0.03333608,0.01,0,22,800
feed_a,weight_a,0.08429946,0.01,0,23,0
feed_a,weight_a,0.06418304,0.01,0,23,200
feed_a,weight_a,0.02778232,0.01,0,23,400
feed_a,weight_a,0.06872691,0.01,0,23,600
feed_a,weight_a,0.04717033,0.01,0,23,800
feed_a,weight_a,0.05001995,0.01,0,24,0
feed_a,weight_a,0.0585095,0.01,0,24,200
feed_a,weight_a,0.04461288,0.01,0,24,400
feed_a,weight_a,0.05309744,0.01,0,24,600
feed_a,weight_a,0.04348344,0.01,0,24,800
feed_a,weight_a,0.05059755,0.01,0,25,0
feed_a,weight_a,0.0362202,0.01,0,25,200
feed_a,weight_a,0.04405582,0.01,0,25,400
feed_a,weight_a,0.04639517,0.01,0,25,600
feed_a,weight_a,0.08446198,0.01,0,25,800
feed_a,weight_a,0.05482677,0.01,0,26,0
feed_a,weight_a,0.04365931,0.01,0,26,200
feed_a,weight_a,0.04721834,0.01,0,26,400
feed_a,weight_a,0.05645013,0.01,0,26,600
feed_a,weight_a,0.0724623,0.01,0,26,800
feed_a,weight_a,0.03721216,0.01,0,27,0
feed_a,weight_a,0.03861161,0.01,0,27,200
